timeFrom,isWeekday,isRain,isHoliday,TotalParkings
2013-01-01,290,81,290,290
2013-01-02,635,341,0,635
2013-01-03,597,159,0,597
2013-01-04,594,0,0,594
2013-01-05,0,0,0,274
2013-01-06,0,38,0,308
2013-01-07,546,25,0,546
2013-01-08,522,0,0,522
2013-01-09,526,0,0,526
2013-01-10,634,634,0,634
2013-01-11,609,430,0,609
2013-01-12,0,158,0,307
2013-01-13,0,294,0,294
2013-01-14,665,665,0,665
2013-01-15,624,624,0,624
2013-01-16,626,626,0,626
2013-01-17,624,624,0,624
2013-01-18,640,640,0,640
2013-01-19,0,298,0,298
2013-01-20,0,313,0,313
2013-01-21,626,626,0,626
2013-01-22,647,647,0,647
2013-01-23,656,656,0,656
2013-01-24,704,704,0,704
2013-01-25,620,620,0,620
2013-01-26,0,318,0,318
2013-01-27,0,288,0,288
2013-01-28,658,658,0,658
2013-01-29,697,697,0,697
2013-01-30,642,642,0,642
2013-01-31,669,669,0,669
2013-02-01,738,738,0,738
2013-02-02,0,317,0,317
2013-02-03,0,318,0,318
2013-02-04,722,722,0,722
2013-02-05,703,703,0,703
2013-02-06,687,687,0,687
2013-02-07,679,679,0,679
2013-02-08,700,700,0,700
2013-02-09,0,305,0,305
2013-02-10,0,303,0,303
2013-02-11,708,708,0,708
2013-02-12,622,40,0,622
2013-02-13,632,0,0,632
2013-02-14,613,0,0,613
2013-02-15,659,0,0,659
2013-02-16,0,0,0,294
2013-02-17,0,0,0,299
2013-02-18,595,0,0,595
2013-02-19,640,0,0,640
2013-02-20,650,0,0,650
2013-02-21,626,0,0,626
2013-02-22,669,0,0,669
2013-02-23,0,0,0,326
2013-02-24,0,0,0,311
2013-02-25,601,0,0,601
2013-02-26,597,0,0,597
2013-02-27,587,0,0,587
2013-02-28,558,0,0,558
2013-03-01,813,0,0,813
2013-03-02,0,0,0,316
2013-03-03,0,0,0,334
2013-03-04,838,0,0,838
2013-03-05,756,0,0,756
2013-03-06,765,0,0,765
2013-03-07,785,0,0,785
2013-03-08,799,0,0,799
2013-03-09,0,0,0,310
2013-03-10,0,0,0,328
2013-03-11,800,0,0,800
2013-03-12,842,0,0,842
2013-03-13,780,0,0,780
2013-03-14,813,0,0,813
2013-03-15,847,0,0,847
2013-03-16,0,0,0,326
2013-03-17,0,0,0,329
2013-03-18,755,0,0,755
2013-03-19,798,0,0,798
2013-03-20,804,0,0,804
2013-03-21,801,0,0,801
2013-03-22,810,0,0,810
2013-03-23,0,0,0,338
2013-03-24,0,0,0,308
2013-03-25,749,0,0,749
2013-03-26,784,0,0,784
2013-03-27,821,0,0,821
2013-03-28,795,0,0,795
2013-03-29,739,0,0,739
2013-03-30,0,0,0,328
2013-03-31,0,0,0,323
2013-04-01,755,0,0,755
2013-04-02,803,0,0,803
2013-04-03,772,0,0,772
2013-04-04,767,0,0,767
2013-04-05,766,0,0,766
2013-04-06,0,0,0,319
2013-04-07,0,0,0,323
2013-04-08,753,0,0,753
2013-04-09,760,0,0,760
2013-04-10,384,0,384,384
2013-04-11,769,0,0,769
2013-04-12,413,0,413,413
2013-04-13,0,0,0,330
2013-04-14,0,0,0,316
2013-04-15,762,0,0,762
2013-04-16,704,0,0,704
2013-04-17,808,0,0,808
2013-04-18,723,0,0,723
2013-04-19,684,0,0,684
2013-04-20,0,0,0,323
2013-04-21,0,0,314,314
2013-04-22,771,0,0,771
2013-04-23,768,0,0,768
2013-04-24,761,0,0,761
2013-04-25,759,0,0,759
2013-04-26,758,0,0,758
2013-04-27,0,0,0,334
2013-04-28,0,0,0,322
2013-04-29,799,0,0,799
2013-04-30,728,0,0,728
2013-05-01,349,0,349,349
2013-05-02,753,0,0,753
2013-05-03,756,0,0,756
2013-05-04,0,0,0,318
2013-05-05,0,0,0,326
2013-05-06,764,0,0,764
2013-05-07,763,0,0,763
2013-05-08,751,0,0,751
2013-05-09,755,0,0,755
2013-05-10,733,0,0,733
2013-05-11,0,0,0,328
2013-05-12,0,0,0,311
2013-05-13,830,0,0,830
2013-05-14,721,0,0,721
2013-05-15,754,0,0,754
2013-05-16,792,0,0,792
2013-05-17,777,0,0,777
2013-05-18,0,0,0,331
2013-05-19,0,0,0,318
2013-05-20,750,0,0,750
2013-05-21,792,0,0,792
2013-05-22,713,0,0,713
2013-05-23,778,0,0,778
2013-05-24,719,0,0,719
2013-05-25,0,0,0,323
2013-05-26,0,0,0,329
2013-05-27,703,0,0,703
2013-05-28,733,0,0,733
2013-05-29,743,0,0,743
2013-05-30,776,0,0,776
2013-05-31,763,0,0,763
2013-06-01,0,0,0,327
2013-06-02,0,0,0,304
2013-06-03,767,0,0,767
2013-06-04,772,0,0,772
2013-06-05,744,0,0,744
2013-06-06,779,0,0,779
2013-06-07,746,0,0,746
2013-06-08,0,0,0,297
2013-06-09,0,0,0,329
2013-06-10,745,0,0,745
2013-06-11,390,0,390,390
2013-06-12,757,0,0,757
2013-06-13,718,0,0,718
2013-06-14,753,0,0,753
2013-06-15,0,0,0,310
2013-06-16,0,0,0,315
2013-06-17,774,0,0,774
2013-06-18,721,0,0,721
2013-06-19,809,0,0,809
2013-06-20,762,0,0,762
2013-06-21,782,0,0,782
2013-06-22,0,0,0,319
2013-06-23,0,0,0,318
2013-06-24,758,0,0,758
2013-06-25,736,0,0,736
2013-06-26,721,0,0,721
2013-06-27,767,0,0,767
2013-06-28,715,0,0,715
2013-06-29,0,0,0,310
2013-06-30,0,0,0,345
2013-07-01,742,0,0,742
2013-07-02,698,0,0,698
2013-07-03,652,0,0,652
2013-07-04,737,0,0,737
2013-07-05,694,0,0,694
2013-07-06,0,0,0,335
2013-07-07,0,0,0,316
2013-07-08,752,0,0,752
2013-07-09,671,0,0,671
2013-07-10,678,0,0,678
2013-07-11,714,0,0,714
2013-07-12,710,0,0,710
2013-07-13,0,0,0,304
2013-07-14,0,0,0,354
2013-07-15,730,0,0,730
2013-07-16,692,0,0,692
2013-07-17,737,0,0,737
2013-07-18,686,0,0,686
2013-07-19,708,0,0,708
2013-07-20,0,0,0,311
2013-07-21,0,0,0,319
2013-07-22,708,0,0,708
2013-07-23,715,0,0,715
2013-07-24,769,0,0,769
2013-07-25,699,0,0,699
2013-07-26,731,0,0,731
2013-07-27,0,0,0,315
2013-07-28,0,0,0,299
2013-07-29,742,0,0,742
2013-07-30,674,0,0,674
2013-07-31,685,0,0,685
2013-08-01,483,0,0,483
2013-08-02,481,0,0,481
2013-08-03,0,0,0,321
2013-08-04,0,0,0,284
2013-08-05,506,0,0,506
2013-08-06,499,0,0,499
2013-08-07,555,0,0,555
2013-08-08,522,0,0,522
2013-08-09,516,0,0,516
2013-08-10,0,0,0,311
2013-08-11,0,0,0,299
2013-08-12,473,0,0,473
2013-08-13,486,0,0,486
2013-08-14,521,0,0,521
2013-08-15,522,0,0,522
2013-08-16,538,0,0,538
2013-08-17,0,0,0,304
2013-08-18,0,0,0,307
2013-08-19,526,0,0,526
2013-08-20,539,0,0,539
2013-08-21,499,0,0,499
2013-08-22,508,0,0,508
2013-08-23,565,0,0,565
2013-08-24,0,0,0,292
2013-08-25,0,0,0,305
2013-08-26,481,0,0,481
2013-08-27,512,0,0,512
2013-08-28,484,0,0,484
2013-08-29,539,0,0,539
2013-08-30,495,0,0,495
2013-08-31,0,0,0,299
2013-09-01,0,0,0,328
2013-09-02,850,0,0,850
2013-09-03,787,0,0,787
2013-09-04,802,0,0,802
2013-09-05,830,0,0,830
2013-09-06,798,0,0,798
2013-09-07,0,0,289,289
2013-09-08,0,0,0,301
2013-09-09,812,0,0,812
2013-09-10,734,0,0,734
2013-09-11,816,0,0,816
2013-09-12,820,137,0,820
2013-09-13,826,826,0,826
2013-09-14,0,327,0,327
2013-09-15,0,288,288,288
2013-09-16,878,878,0,878
2013-09-17,857,857,0,857
2013-09-18,885,885,0,885
2013-09-19,879,879,0,879
2013-09-20,886,886,0,886
2013-09-21,0,333,0,333
2013-09-22,0,368,0,368
2013-09-23,869,869,0,869
2013-09-24,821,821,0,821
2013-09-25,838,838,0,838
2013-09-26,840,840,0,840
2013-09-27,875,875,0,875
2013-09-28,0,372,0,372
2013-09-29,0,355,0,355
2013-09-30,854,854,0,854
2013-10-01,829,829,0,829
2013-10-02,908,908,0,908
2013-10-03,815,815,0,815
2013-10-04,838,838,0,838
2013-10-05,0,338,0,338
2013-10-06,0,331,0,331
2013-10-07,815,815,0,815
2013-10-08,787,787,0,787
2013-10-09,818,818,0,818
2013-10-10,809,809,0,809
2013-10-11,826,826,0,826
2013-10-12,0,20,335,335
2013-10-13,0,334,0,334
2013-10-14,816,816,0,816
2013-10-15,856,856,0,856
2013-10-16,788,788,0,788
2013-10-17,844,844,0,844
2013-10-18,914,914,0,914
2013-10-19,0,338,0,338
2013-10-20,0,334,0,334
2013-10-21,785,785,0,785
2013-10-22,833,833,0,833
2013-10-23,836,836,0,836
2013-10-24,848,848,0,848
2013-10-25,801,801,0,801
2013-10-26,0,355,0,355
2013-10-27,0,339,0,339
2013-10-28,406,406,406,406
2013-10-29,811,811,0,811
2013-10-30,804,804,0,804
2013-10-31,844,844,0,844
2013-11-01,851,851,0,851
2013-11-02,0,284,284,284
2013-11-03,0,343,0,343
2013-11-04,845,845,0,845
2013-11-05,798,798,0,798
2013-11-06,807,807,0,807
2013-11-07,837,837,0,837
2013-11-08,857,857,0,857
2013-11-09,0,332,0,332
2013-11-10,0,332,0,332
2013-11-11,819,819,0,819
2013-11-12,803,88,0,803
2013-11-13,866,866,0,866
2013-11-14,774,774,0,774
2013-11-15,450,450,450,450
2013-11-16,0,338,0,338
2013-11-17,0,354,0,354
2013-11-18,842,842,0,842
